passage	node	occurrence	OSMmorph	OSMtype	BHStype	OSMmorphSuffix	OSMsuffixType	BHSsuffixType
Genesis 37:29	20717	אֵין	HTn	negative	noun:copulative noun:	None	?	:
Genesis 37:30	20737	אָ֥נָה	HD	adverb	interrogative particle::	None	?	:
Genesis 37:36	20841	פַּרְעֹ֔ה	HNp	proper name	noun::	None	?	:
Genesis 38:9	20979	בִלְתִּ֥י	HC	conjunction	noun:potential preposition:	None	?	:J
Genesis 39:1	21424	פַּרְעֹ֜ה	HNp	proper name	noun::	None	?	:
Genesis 39:4	21483	יֶשׁ	HTm	demonstrative	noun:copulative noun:	None	?	:
Genesis 39:11	21665	אֵ֨ין	HTn	negative	noun:copulative noun:	None	?	:
Genesis 40:2	21935	פַּרְעֹ֔ה	HNp	proper name	noun::	None	?	:
Genesis 40:7	22027	פַרְעֹ֗ה	HNp	proper name	noun::	None	?	:
Genesis 41:20	22724	רִאשֹׁנֹ֖ות	HAafpa	adjective	adjective:ordinal:	None	?	:
Genesis 41:27	22856	שְׁנֵ֥י	HAcmdc	cardinal number	noun::	None	?	:
Genesis 41:30	22885	שְׁנֵ֤י	HAcmdc	cardinal number	noun::	None	?	:
Genesis 41:50	23277	טֶ֥רֶם	HD	adverb	noun:potential preposition:	None	?	:
Genesis 43:3	24185	בִּלְתִּ֖י	HC	conjunction	noun:potential preposition:	None	?	:J
Genesis 43:5	24213	בִּלְתִּ֖י	HC	conjunction	noun:potential preposition:	None	?	:J
Genesis 43:32	24779	יוּכְל֜וּן	HVqi3mp	verb	verb::	HSn	paragogic nun	:
Genesis 44:4	24920	טֹובָֽה	HAafsa	adjective	noun::	None	?	:
Genesis 44:23	25258	תֹסִפ֖וּן	HVhi2mp	verb	verb::	HSn	paragogic nun	:
Genesis 45:28	25991	טֶ֥רֶם	HD	adverb	noun:potential preposition:	None	?	:
Genesis 47:18	26979	בִּלְתִּ֥י	HC	conjunction	noun:potential preposition:	None	?	:J
Genesis 50:20	28635	טֹבָ֔ה	HAafsa	adjective	noun::	None	?	:
Exodus 4:10	30370	אֲדֹנָי֒	HNcmpc	common	proper noun::	HSp1cs	pronominal	:
Exodus 4:13	30433	אֲדֹנָ֑י	HNcmpc	common	proper noun::	HSp1cs	pronominal	:
Exodus 4:14	30441	אַ֨ף	HTa	affirmation	noun::	None	?	:
Exodus 5:22	31216	אֲדֹנָ֗י	HNcmpc	common	proper noun::	HSp1cs	pronominal	:
Exodus 6:6	31334	לָכֵ֞ן	HR	preposition	adverb:conjunctive adverb:	HD	adverb	:
Exodus 8:18	32802	בִלְתִּ֥י	HC	conjunction	noun:potential preposition:	None	?	:J
Exodus 8:25	32965	בִלְתִּי֙	HC	conjunction	noun:potential preposition:	None	?	:J
Exodus 10:7	33968	הֲ	HTd	definite article	interrogative particle:interrogative particle:	None	?	:
Exodus 10:29	34441	כֵּ֣ן	HTm	demonstrative	adjective::	None	?	:
Exodus 12:9	34847	נָ֔א	HTe	exhortation	adjective::	None	?	:
Exodus 15:17	37133	אֲדֹנָ֖י	HNcmpc	common	proper noun::	HSp1cs	pronominal	:
Exodus 16:28	37951	אָ֨נָה֙	HD	adverb	interrogative particle::	None	?	:
Exodus 18:9	38640	טֹּובָ֔ה	HAafsa	adjective	noun::	None	?	:
Exodus 21:8	40141	לא	HTn	negative	preposition::	None	?	p:
Exodus 25:20	42254	מַ֗עְלָה	HD	adverb	noun::	HSd	directional he	:H
Exodus 32:19	46923	אַ֣ף	HTa	affirmation	noun::	None	?	:
